"DAX" "Dow Jones" "Nikkei" "VIX"
6516.629883 11143.69043 9498.490234 897.632633
6490.689941 10978.620117 9539.450195 926.423404
6524.549805 11107.969727 9381.599609 879.718385
6611.009766 11146.570312 9376.480469 859.244958
6605.839844 11132.55957 9426.709961 820.857222
6639.209961 11164.049805 9401.160156 809.34089
6613.799805 11169.459961 9377.379883 826.615389
6568 11126.280273 9387.030273 838.771471
6595.279785 11113.950195 9366.030273 834.932734
6601.370117 11118.490234 9202.450195 838.131722
6604.859863 11124.620117 9154.719727 845.809257
6654.310059 11188.719727 9159.980469 822.776591
6617.799805 11215.129883 9159.980469 772.232773
6734.689941 11434.839844 9358.780273 720.409397
6754.200195 11444.080078 9625.990234 712.731862
6750.5 11406.839844 9732.919922 722.328766
6787.810059 11346.75 9694.490234 726.23999
6719.839844 11357.040039 9830.519531 713.599976
6723.410156 11283.099609 9861.459961 726.880005
6734.609863 11192.580078 9724.80957 761.599976
6790.169922 11201.969727 9827.509766 755.840027
6663.240234 11023.5 9797.099609 789.440002
6700.069824 11007.879883 9811.660156 769.280029
6832.109863 11181.230469 10013.629883 725.280029
6843.549805 11203.549805 10022.389648 711.200012
6822.049805 11178.580078 10115.19043 686.719971
6705 11036.370117 10115.19043 717.919983
6823.799805 11187.280273 10030.110352 690.559998
6879.660156 11187.280273 10079.759766 690.559998
6848.97998 11091.870117 10039.55957 732.159973
6697.970215 11052.490234 10125.990234 737.599976
6688.490234 11006.019531 9937.040039 788.640015
6866.629883 11255.780273 9988.049805 751.200012
6957.609863 11362.410156 10168.519531 692.960022
6947.720215 11382.089844 10178.320312 660.799988
6954.379883 11362.19043 10167.230469 648.799988
7001.910156 11359.160156 10141.099609 642.400024
6975.870117 11372.480469 10232.330078 624.799988
6964.160156 11370.05957 10285.879883 616.640015
7006.169922 11410.320312 10211.950195 610.080017
7029.390137 11428.55957 10293.889648 619.039978
7027.399902 11476.540039 10316.769531 622.400024
7016.370117 11457.469727 10309.780273 636.640015
7024.399902 11499.25 10311.290039 624.159973
6982.450195 11491.910156 10303.830078 613.119995
7018.600098 11478.129883 10216.410156 599.52002
7077.990234 11533.160156 10370.530273 589.119995
7067.919922 11559.490234 10346.480469 585.919983
7057.689941 11573.490234 10346.480469 604.799988
7057.689941 11573.490234 10279.19043 604.799988
6970.72998 11555.030273 10355.990234 615.359985
6972.100098 11575.540039 10292.629883 622.880005
6995.470215 11585.379883 10344.540039 614.400024
6914.189941 11569.709961 10228.919922 606.719971
6914.189941 11577.509766 10228.919922 601.76001
6989.740234 11670.75 10228.919922 583.840027
6975.350098 11691.179688 10398.099609 581.280029
6939.819824 11722.889648 10380.769531 573.280029
6981.390137 11697.30957 10529.759766 574.880005
6947.839844 11674.759766 10541.040039 576.799988
6857.060059 11637.450195 10541.040039 576
6941.569824 11671.879883 10510.679688 559.039978
7068.779785 11755.44043 10512.799805 534.880005
7075.109863 11731.900391 10589.759766 527.840027
7075.700195 11787.379883 10499.040039 505.119995
7078.060059 11787.379883 10502.860352 505.119995
7143.450195 11837.929688 10518.980469 488.959991
7082.759766 11825.290039 10557.099609 514.880005
7024.27002 11822.799805 10437.30957 509.600006
7062.419922 11871.839844 10274.519531 515.679993
7067.77002 11980.519531 10345.110352 505.279999
7059.009766 11977.19043 10464.419922 499.040009
7127.350098 11985.44043 10401.900391 483.839996
7155.580078 11989.830078 10478.660156 473.76001
7102.799805 11823.700195 10360.339844 513.599976
7077.47998 11891.929688 10237.919922 512.47998
7184.27002 12040.160156 10274.5 487.679993
7183.669922 12041.969727 10457.360352 485.440002
7193.680176 12062.259766 10431.360352 479.200012
7216.209961 12092.150391 10543.519531 467.359985
7283.620117 12161.629883 10592.040039 460.320007
7323.240234 12233.150391 10635.980469 454.720001
7320.899902 12239.889648 10617.830078 456.160004
7340.279785 12229.290039 10605.650391 456.160004
7371.200195 12273.259766 10605.650391 448.320007
7396.629883 12268.19043 10725.540039 443.679993
7400.040039 12226.639648 10746.669922 449.76001
7414.299805 12288.169922 10808.290039 455.359985
7405.509766 12318.139648 10836.639648 460.640015
7426.810059 12391.25 10842.799805 464.480011
7321.810059 12391.25 10857.530273 464.480011
7318.350098 12212.790039 10664.700195 520.799988
7194.600098 12105.780273 10579.099609 544.159973
7130.5 12068.5 10452.709961 538.880005
7185.169922 12130.450195 10526.759766 504.160004
7272.319824 12226.339844 10624.089844 482.880005
7223.299805 12058.019531 10754.030273 519.200012
7181.120117 12066.799805 10492.379883 520.47998
7225.959961 12258.200195 10586.019531 494.079987
7178.899902 12169.879883 10693.660156 506.559998
7161.930176 12090.030273 10505.019531 519.840027
7164.75 12214.379883 10525.19043 508.959991
7131.799805 12213.089844 10589.5 516
7063.089844 11984.610352 10434.379883 542.719971
6981.490234 12044.400391 10254.429688 528.159973
6866.629883 11993.160156 9620.490234 533.280029
6647.660156 11855.419922 8605.150391 555.840027
6513.839844 11613.299805 9093.719727 602.080017
6656.879883 11774.589844 8962.669922 583.679993
6664.399902 11858.519531 9206.75 565.76001
6816.120117 12036.530273 9206.75 522.719971
6780.970215 12018.629883 9608.320312 520
6804.450195 12086.019531 9449.469727 500.160004
6933.580078 12170.55957 9435.009766 486.559998
6946.359863 12220.589844 9536.129883 485.920013
6938.629883 12197.879883 9478.530273 492.320007
6934.439941 12279.009766 9459.080078 479.839996
7057.149902 12350.610352 9708.790039 471.200012
7041.310059 12319.730469 9755.099609 469.920013
7179.810059 12376.719727 9708.389648 465.440002
7175.330078 12400.030273 9718.889648 460.799988
7175.310059 12393.900391 9615.549805 452.640015
7215.109863 12426.75 9584.370117 450.880005
7178.779785 12409.490234 9590.929688 454.079987
7217.02002 12380.049805 9768.080078 462.720001
7204.859863 12381.110352 9719.700195 458.399994
7102.910156 12263.580078 9555.259766 462.720001
7177.970215 12270.990234 9641.179688 454.880005
7146.560059 12285.150391 9653.919922 451.040009
7178.290039 12341.830078 9591.519531 440.799988
7026.850098 12201.589844 9556.650391 450.079987
7039.310059 12266.75 9441.030273 428.320007
7249.189941 12453.540039 9606.820312 410.399994
7295.490234 12505.990234 9685.769531 398.079987
7295.490234 12505.990234 9682.209961 398.079987
7295.490234 12479.879883 9671.959961 388.959991
7356.509766 12595.370117 9558.69043 380.480011
7404.950195 12690.959961 9691.839844 374.880005
7475.220215 12763.30957 9849.740234 370.399994
7514.459961 12810.540039 9849.740234 370.559998
